Date,Ticker,Action,Shares,Price,Total
2025-01-02,GOOGL,BUY,10,151.20057720070503,1512.0057720070504
2025-01-03,GOOGL,BUY,10,149.9939250778375,1499.939250778375
2025-01-04,GOOGL,BUY,10,152.9856581674244,1529.856581674244
2025-01-05,GOOGL,BUY,10,150.94566362216094,1509.4566362216094
2025-01-06,GOOGL,BUY,10,150.06795320604715,1500.6795320604715
2025-01-07,GOOGL,BUY,10,154.07350904868693,1540.7350904868692
2025-01-08,GOOGL,BUY,10,158.3519714499874,1583.5197144998738
2025-01-09,GOOGL,BUY,10,155.17517999724,1551.7517999724
2025-01-10,GOOGL,BUY,10,158.15488855093167,1581.5488855093167
2025-01-11,GOOGL,BUY,10,161.05332695749087,1610.5332695749087
2025-01-12,GOOGL,BUY,10,165.8535379460361,1658.5353794603611
2025-01-13,AAPL,BUY,10,182.04574197405427,1820.4574197405427
2025-01-14,AAPL,BUY,10,175.37155761759692,1753.715576175969
2025-01-15,AAPL,BUY,10,180.5940227179832,1805.940227179832
2025-01-16,AAPL,BUY,10,189.09803386018328,1890.9803386018327
2025-01-17,AAPL,BUY,10,190.82397830700148,1908.2397830700147
2025-01-18,AAPL,BUY,10,189.07819066493045,1890.7819066493043
2025-01-19,AAPL,BUY,10,192.1886306922437,1921.886306922437
2025-01-20,AAPL,BUY,10,193.8193305808192,1938.1933058081922
2025-01-21,AAPL,BUY,10,188.393496991915,1883.9349699191498
2025-01-22,AAPL,BUY,10,186.35952214509612,1863.5952214509612
2025-01-23,AAPL,BUY,10,182.648759837962,1826.4875983796198
2025-01-24,AAPL,BUY,10,182.08719090395545,1820.8719090395543
2025-01-25,AAPL,BUY,10,175.38415154165313,1753.8415154165314
2025-01-26,AAPL,BUY,10,173.10667417514327,1731.0667417514328
2025-01-27,AAPL,BUY,10,173.00536063714625,1730.0536063714626
2025-01-28,AAPL,BUY,10,177.93681257627895,1779.3681257627895
2025-01-29,AAPL,BUY,10,181.78996715699847,1817.8996715699848
2025-01-30,AAPL,BUY,10,184.73147801683595,1847.3147801683594
2025-01-31,AAPL,BUY,10,177.43949870685125,1774.3949870685126
2025-02-01,AAPL,BUY,10,171.2235125268971,1712.2351252689712
2025-02-02,AAPL,BUY,10,173.37848480375266,1733.7848480375264
2025-02-03,AAPL,BUY,10,176.72484853213524,1767.2484853213523
2025-02-04,AAPL,BUY,10,181.0787603449532,1810.787603449532
2025-02-05,AAPL,BUY,10,177.48245575750556,1774.8245575750557
2025-02-06,AAPL,BUY,10,175.10479467684132,1751.047946768413
2025-02-07,AAPL,BUY,10,176.036616453974,1760.36616453974
2025-02-08,AAPL,BUY,10,176.45555358140962,1764.5555358140962
2025-02-09,AAPL,BUY,10,182.23283450896548,1822.3283450896547
2025-02-10,AAPL,BUY,10,185.4050921015429,1854.050921015429
2025-02-11,AAPL,BUY,10,184.05314111391752,1840.5314111391751
2025-02-12,AAPL,BUY,10,183.19103226415243,1831.9103226415243
2025-02-13,AAPL,BUY,10,183.58145531019872,1835.8145531019873
2025-02-14,AAPL,BUY,10,177.58797595799936,1775.8797595799936
2025-02-15,AAPL,BUY,10,178.50096556020537,1785.0096556020537
2025-02-16,AAPL,BUY,10,176.67065523447613,1766.7065523447613
2025-02-17,AAPL,BUY,10,172.02442563494048,1720.2442563494048
2025-02-18,AAPL,BUY,10,170.75830649268815,1707.5830649268814
2025-02-19,AAPL,BUY,10,176.44162563868403,1764.4162563868404
2025-02-20,AAPL,BUY,10,179.05252452009077,1790.5252452009076
2025-02-21,AAPL,BUY,10,181.24353495203195,1812.4353495203195
2025-02-22,AAPL,BUY,10,184.66209526589228,1846.6209526589228
2025-02-23,AAPL,BUY,10,186.8075338095213,1868.0753380952128
2025-02-24,AAPL,BUY,10,186.1192613848605,1861.1926138486049
2025-02-25,AAPL,BUY,10,190.7117366503738,1907.1173665037381
2025-02-26,AAPL,SELL,10,188.65938176246652,1886.5938176246652
2025-02-27,AAPL,SELL,10,196.02590762951596,1960.2590762951595
2025-02-28,AAPL,SELL,10,191.96644011304397,1919.6644011304397
2025-03-01,AAPL,SELL,10,192.6178982173192,1926.178982173192
2025-03-02,AAPL,SELL,10,192.8213939163099,1928.213939163099
2025-03-03,AAPL,SELL,10,191.48101950637133,1914.8101950637133
2025-03-04,AAPL,SELL,10,187.49540860406637,1874.9540860406637
2025-03-05,AAPL,SELL,10,188.7808456503124,1887.8084565031238
